"item";"gastos";"mes";"anno";"id"
"GASTOS DE MANTENCIÓN OFICINA PARLAMENTARIA (INMUEBLE)";"0";"septiembre";"2022";1096
"REPARACIONES LOCATIVAS DEL INMUEBLE";"0";"septiembre";"2022";1096
"HABILITACIÓN DE SEDES PARLAMENTARIAS (CON AUTORIZACIÓN DE CRAP)";"0";"septiembre";"2022";1096
"SEGUROS DE BIENES";"0";"septiembre";"2022";1096
"ARRIENDO DE OFICINAS VIRTUALES";"0";"septiembre";"2022";1096
"SERVICIOS WEB";"0";"septiembre";"2022";1096
"CONTRATACIÓN SERVICIO DE ALMACENAMIENTO";"0";"septiembre";"2022";1096
"ARRIENDO DE OFICINA MÓVIL";"0";"septiembre";"2022";1096
"MANTENCION Y REPARACIÓN DE OFICINA MÓVIL";"0";"septiembre";"2022";1096
"SERVICIOS MENORES";"476.050";"septiembre";"2022";1096
"COVID-19 PERSONAL DE APOYO";"0";"septiembre";"2022";1096
"TRASPASO DESDE GASTOS OPERACIONALES A ASIGNACIÓN PERSONAL DE APOYO";"2.219.208";"octubre";"2022";1096
"TELEFONÍA";"71.168";"octubre";"2022";1096
"TRASLACIÓN";"973.737";"octubre";"2022";1096
"DIFUSIÓN";"410.000";"octubre";"2022";1096
"ACTIVIDADES DESTINADAS A LA INTERACCIÓN CON LA COMUNIDAD";"0";"octubre";"2022";1096
"ARRIENDO DE INMUEBLE";"510.000";"octubre";"2022";1096
"CONSUMOS BÁSICOS";"93.350";"octubre";"2022";1096
"EQUIPAMIENTO OFICINA PARLAMENTARIA";"149.491";"octubre";"2022";1096
"MATERIALES DE OFICINA";"55.445";"octubre";"2022";1096
"CORRESPONDENCIA";"0";"octubre";"2022";1096
"GASTOS DE MANTENCIÓN OFICINA PARLAMENTARIA (INMUEBLE)";"0";"octubre";"2022";1096
"REPARACIONES LOCATIVAS DEL INMUEBLE";"0";"octubre";"2022";1096
"HABILITACIÓN DE SEDES PARLAMENTARIAS (CON AUTORIZACIÓN DE CRAP)";"0";"octubre";"2022";1096
"SEGUROS DE BIENES";"0";"octubre";"2022";1096
"ARRIENDO DE OFICINAS VIRTUALES";"0";"octubre";"2022";1096
"SERVICIOS WEB";"0";"octubre";"2022";1096
"CONTRATACIÓN SERVICIO DE ALMACENAMIENTO";"0";"octubre";"2022";1096
"ARRIENDO DE OFICINA MÓVIL";"0";"octubre";"2022";1096
"MANTENCION Y REPARACIÓN DE OFICINA MÓVIL";"0";"octubre";"2022";1096
"SERVICIOS MENORES";"600.000";"octubre";"2022";1096
"COVID-19 PERSONAL DE APOYO";"0";"octubre";"2022";1096
"TRASPASO DESDE GASTOS OPERACIONALES A ASIGNACIÓN PERSONAL DE APOYO";"2.213.475";"noviembre";"2022";1096
"TELEFONÍA";"71.168";"noviembre";"2022";1096
"TRASLACIÓN";"1.251.482";"noviembre";"2022";1096
"DIFUSIÓN";"0";"noviembre";"2022";1096
"ACTIVIDADES DESTINADAS A LA INTERACCIÓN CON LA COMUNIDAD";"0";"noviembre";"2022";1096
"ARRIENDO DE INMUEBLE";"510.000";"noviembre";"2022";1096
"CONSUMOS BÁSICOS";"0";"noviembre";"2022";1096
"EQUIPAMIENTO OFICINA PARLAMENTARIA";"134.281";"noviembre";"2022";1096
"MATERIALES DE OFICINA";"15.253";"noviembre";"2022";1096
"CORRESPONDENCIA";"7.521";"noviembre";"2022";1096
"GASTOS DE MANTENCIÓN OFICINA PARLAMENTARIA (INMUEBLE)";"0";"noviembre";"2022";1096
"REPARACIONES LOCATIVAS DEL INMUEBLE";"0";"noviembre";"2022";1096
"HABILITACIÓN DE SEDES PARLAMENTARIAS (CON AUTORIZACIÓN DE CRAP)";"0";"noviembre";"2022";1096
"SEGUROS DE BIENES";"0";"noviembre";"2022";1096
"ARRIENDO DE OFICINAS VIRTUALES";"0";"noviembre";"2022";1096
"SERVICIOS WEB";"0";"noviembre";"2022";1096
"CONTRATACIÓN SERVICIO DE ALMACENAMIENTO";"0";"noviembre";"2022";1096
"ARRIENDO DE OFICINA MÓVIL";"0";"noviembre";"2022";1096
"MANTENCION Y REPARACIÓN DE OFICINA MÓVIL";"0";"noviembre";"2022";1096
"SERVICIOS MENORES";"600.000";"noviembre";"2022";1096
"COVID-19 PERSONAL DE APOYO";"0";"noviembre";"2022";1096
"TRASPASO DESDE GASTOS OPERACIONALES A ASIGNACIÓN PERSONAL DE APOYO";"2.217.843";"diciembre";"2022";1096
"TELEFONÍA";"86.197";"diciembre";"2022";1096
"TRASLACIÓN";"699.606";"diciembre";"2022";1096
"DIFUSIÓN";"59.500";"diciembre";"2022";1096
"ACTIVIDADES DESTINADAS A LA INTERACCIÓN CON LA COMUNIDAD";"0";"diciembre";"2022";1096
"ARRIENDO DE INMUEBLE";"535.500";"diciembre";"2022";1096
"CONSUMOS BÁSICOS";"64.725";"diciembre";"2022";1096
"EQUIPAMIENTO OFICINA PARLAMENTARIA";"134.284";"diciembre";"2022";1096
"MATERIALES DE OFICINA";"47.933";"diciembre";"2022";1096
"CORRESPONDENCIA";"835";"diciembre";"2022";1096
"GASTOS DE MANTENCIÓN OFICINA PARLAMENTARIA (INMUEBLE)";"0";"diciembre";"2022";1096
"REPARACIONES LOCATIVAS DEL INMUEBLE";"0";"diciembre";"2022";1096
"HABILITACIÓN DE SEDES PARLAMENTARIAS (CON AUTORIZACIÓN DE CRAP)";"0";"diciembre";"2022";1096
"SEGUROS DE BIENES";"0";"diciembre";"2022";1096
"ARRIENDO DE OFICINAS VIRTUALES";"0";"diciembre";"2022";1096
"SERVICIOS WEB";"0";"diciembre";"2022";1096
"CONTRATACIÓN SERVICIO DE ALMACENAMIENTO";"0";"diciembre";"2022";1096
"ARRIENDO DE OFICINA MÓVIL";"0";"diciembre";"2022";1096
"MANTENCION Y REPARACIÓN DE OFICINA MÓVIL";"0";"diciembre";"2022";1096
"SERVICIOS MENORES";"600.000";"diciembre";"2022";1096
"COVID-19 PERSONAL DE APOYO";"0";"diciembre";"2022";1096
NA;NA;"enero";"2023";1096
NA;NA;"febrero";"2023";1096
NA;NA;"marzo";"2023";1096
"TRASPASO DESDE GASTOS OPERACIONALES A ASIGNACIÓN PERSONAL DE APOYO";"516.751";"marzo";"2022";1097
"TELEFONÍA";"0";"marzo";"2022";1097
"TRASLACIÓN";"1.011.748";"marzo";"2022";1097
"DIFUSIÓN";"0";"marzo";"2022";1097
"ACTIVIDADES DESTINADAS A LA INTERACCIÓN CON LA COMUNIDAD";"0";"marzo";"2022";1097
"ARRIENDO DE INMUEBLE";"0";"marzo";"2022";1097
"CONSUMOS BÁSICOS";"0";"marzo";"2022";1097
"EQUIPAMIENTO OFICINA PARLAMENTARIA";"0";"marzo";"2022";1097
"MATERIALES DE OFICINA";"0";"marzo";"2022";1097
"CORRESPONDENCIA";"0";"marzo";"2022";1097
"GASTOS DE MANTENCIÓN OFICINA PARLAMENTARIA (INMUEBLE)";"0";"marzo";"2022";1097
"REPARACIONES LOCATIVAS DEL INMUEBLE";"0";"marzo";"2022";1097
"HABILITACIÓN DE SEDES PARLAMENTARIAS (CON AUTORIZACIÓN DE CRAP)";"0";"marzo";"2022";1097
"SEGUROS DE BIENES";"0";"marzo";"2022";1097
"ARRIENDO DE OFICINAS VIRTUALES";"0";"marzo";"2022";1097
"SERVICIOS WEB";"0";"marzo";"2022";1097
"CONTRATACIÓN SERVICIO DE ALMACENAMIENTO";"0";"marzo";"2022";1097
"ARRIENDO DE OFICINA MÓVIL";"0";"marzo";"2022";1097
"MANTENCION Y REPARACIÓN DE OFICINA MÓVIL";"0";"marzo";"2022";1097
"SERVICIOS MENORES";"333.333";"marzo";"2022";1097
"COVID-19 PERSONAL DE APOYO";"0";"marzo";"2022";1097
"TRASPASO DESDE GASTOS OPERACIONALES A ASIGNACIÓN PERSONAL DE APOYO";"984.297";"abril";"2022";1097
"TELEFONÍA";"1.123.884";"abril";"2022";1097
"TRASLACIÓN";"1.198.377";"abril";"2022";1097
"DIFUSIÓN";"0";"abril";"2022";1097
"ACTIVIDADES DESTINADAS A LA INTERACCIÓN CON LA COMUNIDAD";"0";"abril";"2022";1097
"ARRIENDO DE INMUEBLE";"1.450.000";"abril";"2022";1097
"CONSUMOS BÁSICOS";"107.726";"abril";"2022";1097
"EQUIPAMIENTO OFICINA PARLAMENTARIA";"1.540.124";"abril";"2022";1097
"MATERIALES DE OFICINA";"41.415";"abril";"2022";1097
"CORRESPONDENCIA";"6.549";"abril";"2022";1097
"GASTOS DE MANTENCIÓN OFICINA PARLAMENTARIA (INMUEBLE)";"0";"abril";"2022";1097
"REPARACIONES LOCATIVAS DEL INMUEBLE";"0";"abril";"2022";1097
"HABILITACIÓN DE SEDES PARLAMENTARIAS (CON AUTORIZACIÓN DE CRAP)";"0";"abril";"2022";1097
"SEGUROS DE BIENES";"0";"abril";"2022";1097
"ARRIENDO DE OFICINAS VIRTUALES";"0";"abril";"2022";1097
"SERVICIOS WEB";"0";"abril";"2022";1097
"CONTRATACIÓN SERVICIO DE ALMACENAMIENTO";"0";"abril";"2022";1097
"ARRIENDO DE OFICINA MÓVIL";"0";"abril";"2022";1097
"MANTENCION Y REPARACIÓN DE OFICINA MÓVIL";"0";"abril";"2022";1097
"SERVICIOS MENORES";"500.000";"abril";"2022";1097
"COVID-19 PERSONAL DE APOYO";"0";"abril";"2022";1097
"TRASPASO DESDE GASTOS OPERACIONALES A ASIGNACIÓN PERSONAL DE APOYO";"1.827.577";"mayo";"2022";1097
"TELEFONÍA";"51.362";"mayo";"2022";1097
"TRASLACIÓN";"2.178.407";"mayo";"2022";1097
"DIFUSIÓN";"232.050";"mayo";"2022";1097
"ACTIVIDADES DESTINADAS A LA INTERACCIÓN CON LA COMUNIDAD";"0";"mayo";"2022";1097
"ARRIENDO DE INMUEBLE";"725.000";"mayo";"2022";1097
"CONSUMOS BÁSICOS";"0";"mayo";"2022";1097
"EQUIPAMIENTO OFICINA PARLAMENTARIA";"0";"mayo";"2022";1097
"MATERIALES DE OFICINA";"20.500";"mayo";"2022";1097
"CORRESPONDENCIA";"38.664";"mayo";"2022";1097
"GASTOS DE MANTENCIÓN OFICINA PARLAMENTARIA (INMUEBLE)";"0";"mayo";"2022";1097
"REPARACIONES LOCATIVAS DEL INMUEBLE";"0";"mayo";"2022";1097
"HABILITACIÓN DE SEDES PARLAMENTARIAS (CON AUTORIZACIÓN DE CRAP)";"0";"mayo";"2022";1097
"SEGUROS DE BIENES";"0";"mayo";"2022";1097
"ARRIENDO DE OFICINAS VIRTUALES";"0";"mayo";"2022";1097
"SERVICIOS WEB";"0";"mayo";"2022";1097
"CONTRATACIÓN SERVICIO DE ALMACENAMIENTO";"0";"mayo";"2022";1097
"ARRIENDO DE OFICINA MÓVIL";"0";"mayo";"2022";1097
"MANTENCION Y REPARACIÓN DE OFICINA MÓVIL";"0";"mayo";"2022";1097
"SERVICIOS MENORES";"173.350";"mayo";"2022";1097
"COVID-19 PERSONAL DE APOYO";"0";"mayo";"2022";1097
"TRASPASO DESDE GASTOS OPERACIONALES A ASIGNACIÓN PERSONAL DE APOYO";"1.829.069";"junio";"2022";1097
"TELEFONÍA";"51.360";"junio";"2022";1097
"TRASLACIÓN";"1.634.821";"junio";"2022";1097
"DIFUSIÓN";"0";"junio";"2022";1097
"ACTIVIDADES DESTINADAS A LA INTERACCIÓN CON LA COMUNIDAD";"0";"junio";"2022";1097
"ARRIENDO DE INMUEBLE";"725.000";"junio";"2022";1097
"CONSUMOS BÁSICOS";"0";"junio";"2022";1097
"EQUIPAMIENTO OFICINA PARLAMENTARIA";"0";"junio";"2022";1097
"MATERIALES DE OFICINA";"164.955";"junio";"2022";1097
"CORRESPONDENCIA";"10.319";"junio";"2022";1097
"GASTOS DE MANTENCIÓN OFICINA PARLAMENTARIA (INMUEBLE)";"0";"junio";"2022";1097
"REPARACIONES LOCATIVAS DEL INMUEBLE";"0";"junio";"2022";1097
"HABILITACIÓN DE SEDES PARLAMENTARIAS (CON AUTORIZACIÓN DE CRAP)";"0";"junio";"2022";1097
"SEGUROS DE BIENES";"0";"junio";"2022";1097
"ARRIENDO DE OFICINAS VIRTUALES";"0";"junio";"2022";1097
"SERVICIOS WEB";"0";"junio";"2022";1097
"CONTRATACIÓN SERVICIO DE ALMACENAMIENTO";"0";"junio";"2022";1097
"ARRIENDO DE OFICINA MÓVIL";"0";"junio";"2022";1097
"MANTENCION Y REPARACIÓN DE OFICINA MÓVIL";"0";"junio";"2022";1097
"SERVICIOS MENORES";"500.000";"junio";"2022";1097
"COVID-19 PERSONAL DE APOYO";"0";"junio";"2022";1097
"TRASPASO DESDE GASTOS OPERACIONALES A ASIGNACIÓN PERSONAL DE APOYO";"1.829.069";"julio";"2022";1097
"TELEFONÍA";"51.359";"julio";"2022";1097
"TRASLACIÓN";"1.855.978";"julio";"2022";1097
"DIFUSIÓN";"0";"julio";"2022";1097
"ACTIVIDADES DESTINADAS A LA INTERACCIÓN CON LA COMUNIDAD";"0";"julio";"2022";1097
"ARRIENDO DE INMUEBLE";"743.850";"julio";"2022";1097
"CONSUMOS BÁSICOS";"107.922";"julio";"2022";1097
"EQUIPAMIENTO OFICINA PARLAMENTARIA";"166.665";"julio";"2022";1097
"MATERIALES DE OFICINA";"0";"julio";"2022";1097
"CORRESPONDENCIA";"82.887";"julio";"2022";1097
"GASTOS DE MANTENCIÓN OFICINA PARLAMENTARIA (INMUEBLE)";"0";"julio";"2022";1097
"REPARACIONES LOCATIVAS DEL INMUEBLE";"0";"julio";"2022";1097
"HABILITACIÓN DE SEDES PARLAMENTARIAS (CON AUTORIZACIÓN DE CRAP)";"0";"julio";"2022";1097
"SEGUROS DE BIENES";"0";"julio";"2022";1097
"ARRIENDO DE OFICINAS VIRTUALES";"0";"julio";"2022";1097
"SERVICIOS WEB";"0";"julio";"2022";1097
"CONTRATACIÓN SERVICIO DE ALMACENAMIENTO";"0";"julio";"2022";1097
"ARRIENDO DE OFICINA MÓVIL";"0";"julio";"2022";1097
"MANTENCION Y REPARACIÓN DE OFICINA MÓVIL";"0";"julio";"2022";1097
"SERVICIOS MENORES";"409.180";"julio";"2022";1097
"COVID-19 PERSONAL DE APOYO";"0";"julio";"2022";1097
"TRASPASO DESDE GASTOS OPERACIONALES A ASIGNACIÓN PERSONAL DE APOYO";"1.819.548";"agosto";"2022";1097
"TELEFONÍA";"75.396";"agosto";"2022";1097
"TRASLACIÓN";"2.370.275";"agosto";"2022";1097
"DIFUSIÓN";"0";"agosto";"2022";1097
"ACTIVIDADES DESTINADAS A LA INTERACCIÓN CON LA COMUNIDAD";"0";"agosto";"2022";1097
"ARRIENDO DE INMUEBLE";"743.850";"agosto";"2022";1097
"CONSUMOS BÁSICOS";"0";"agosto";"2022";1097
"EQUIPAMIENTO OFICINA PARLAMENTARIA";"166.665";"agosto";"2022";1097
"MATERIALES DE OFICINA";"28.197";"agosto";"2022";1097
"CORRESPONDENCIA";"31.060";"agosto";"2022";1097
"GASTOS DE MANTENCIÓN OFICINA PARLAMENTARIA (INMUEBLE)";"0";"agosto";"2022";1097
"REPARACIONES LOCATIVAS DEL INMUEBLE";"0";"agosto";"2022";1097
"HABILITACIÓN DE SEDES PARLAMENTARIAS (CON AUTORIZACIÓN DE CRAP)";"0";"agosto";"2022";1097
"SEGUROS DE BIENES";"0";"agosto";"2022";1097
"ARRIENDO DE OFICINAS VIRTUALES";"0";"agosto";"2022";1097
"SERVICIOS WEB";"0";"agosto";"2022";1097
"CONTRATACIÓN SERVICIO DE ALMACENAMIENTO";"0";"agosto";"2022";1097
"ARRIENDO DE OFICINA MÓVIL";"0";"agosto";"2022";1097
"MANTENCION Y REPARACIÓN DE OFICINA MÓVIL";"0";"agosto";"2022";1097
"SERVICIOS MENORES";"11.919";"agosto";"2022";1097
"COVID-19 PERSONAL DE APOYO";"0";"agosto";"2022";1097
"TRASPASO DESDE GASTOS OPERACIONALES A ASIGNACIÓN PERSONAL DE APOYO";"1.693.724";"septiembre";"2022";1097
"TELEFONÍA";"75.173";"septiembre";"2022";1097
"TRASLACIÓN";"1.912.088";"septiembre";"2022";1097
"DIFUSIÓN";"74.970";"septiembre";"2022";1097
"ACTIVIDADES DESTINADAS A LA INTERACCIÓN CON LA COMUNIDAD";"0";"septiembre";"2022";1097
"ARRIENDO DE INMUEBLE";"743.850";"septiembre";"2022";1097
"CONSUMOS BÁSICOS";"108.037";"septiembre";"2022";1097
"EQUIPAMIENTO OFICINA PARLAMENTARIA";"166.665";"septiembre";"2022";1097
"MATERIALES DE OFICINA";"18.205";"septiembre";"2022";1097
"CORRESPONDENCIA";"17.552";"septiembre";"2022";1097
"GASTOS DE MANTENCIÓN OFICINA PARLAMENTARIA (INMUEBLE)";"0";"septiembre";"2022";1097
"REPARACIONES LOCATIVAS DEL INMUEBLE";"0";"septiembre";"2022";1097
"HABILITACIÓN DE SEDES PARLAMENTARIAS (CON AUTORIZACIÓN DE CRAP)";"0";"septiembre";"2022";1097
"SEGUROS DE BIENES";"0";"septiembre";"2022";1097
"ARRIENDO DE OFICINAS VIRTUALES";"0";"septiembre";"2022";1097
"SERVICIOS WEB";"0";"septiembre";"2022";1097
